Geographical Description,Geographical Level,ONS Code,Measure Group Description,Disaggregation Level,Measure Value,IMD - Average rank ,Annual Pay Mean,Population,Year
Barking and Dagenham,Council,E09000002,Overall satisfaction of carers with social services,Total,39.9,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,18-64,69.8,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,65 and over,61.6,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Female,65.5,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Male,64.5,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,Overall satisfaction of people who use services with their care and support,Total,65.1,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,Social care-related quality of life score,18-64,19.3,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,Social care-related quality of life score,65 and over,18.8,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,Social care-related quality of life score,Female,18.8,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,Social care-related quality of life score,Male,19.3,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,Social care-related quality of life score,Total,19.0,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The outcome of short-term services: sequel to service,18-64,38.8,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The outcome of short-term services: sequel to service,65 and over,39.1,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The outcome of short-term services: sequel to service,Total,39.0,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults in contact with secondary mental health services in paid employment,Female,7.0,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults in contact with secondary mental health services in paid employment,Male,6.0,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults in contact with secondary mental health services in paid employment,Total,6.0,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Female,66.0,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Male,63.0,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Total,65.0,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults with a learning disability in paid employment,Female,2.6,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults with a learning disability in paid employment,Male,5.8,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults with a learning disability in paid employment,Total,4.6,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults with a learning disability who live in their own home or with their family,Female,88.4,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults with a learning disability who live in their own home or with their family,Male,89.6,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of adults with a learning disability who live in their own home or with their family,Total,89.1,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who find it easy to find information about support,18-64,57.1,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who find it easy to find information about support,65 and over,63.2,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who find it easy to find information about support,Female,57.0,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who find it easy to find information about support,Male,65.1,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who find it easy to find information about support,Total,59.9,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who receive direct payments,18-64,100.0,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who receive direct payments,Total,100.0,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who receive direct payments,65 and over,100.0,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who receive self-directed support,18-64,100.0,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who receive self-directed support,Total,100.0,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who receive self-directed support,65 and over,100.0,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,18-64,65.1,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,65 and over,72.7,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Female,68.4,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Male,67.3,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Total,68.3,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who reported that they had as much social contact as they would like,18-64,35.3,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who reported that they had as much social contact as they would like,65 and over,29.9,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who reported that they had as much social contact as they would like,Female,38.3,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who reported that they had as much social contact as they would like,Male,25.0,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of carers who reported that they had as much social contact as they would like,Total,33.7,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Female,3.8,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Male,3.4,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Total,3.6,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,65 and over,3.63,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Female,95.2,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Male,91.1,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Total,93.5,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,65 and over,93.46,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who feel safe,18-64,70.3,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who feel safe,65 and over,66.6,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who feel safe,Female,65.4,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who feel safe,Male,72.9,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who feel safe,Total,68.2,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who find it easy to find information about support,18-64,70.6,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who find it easy to find information about support,65 and over,68.9,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who find it easy to find information about support,Female,68.6,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who find it easy to find information about support,Male,71.2,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who find it easy to find information about support,Total,69.6,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who have control over their daily life,18-64,80.9,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who have control over their daily life,65 and over,74.1,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who have control over their daily life,Female,77.9,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who have control over their daily life,Male,75.4,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who have control over their daily life,Total,77.0,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who receive direct payments,18-64,60.3,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who receive direct payments,65 and over,39.2,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who receive direct payments,Total,49.1,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who receive self-directed support,18-64,79.9,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who receive self-directed support,65 and over,90.9,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who receive self-directed support,Total,85.7,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who reported that they had as much social contact as they would like,18-64,47.1,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who reported that they had as much social contact as they would like,65 and over,47.1,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who reported that they had as much social contact as they would like,Female,47.7,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who reported that they had as much social contact as they would like,Male,46.1,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who reported that they had as much social contact as they would like,Total,47.1,25551.85,26651,149359.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who say that those services have made them feel safe and secure,18-64,81.8,25551.85,26651,129579.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who say that those services have made them feel safe and secure,65 and over,82.7,25551.85,26651,19780.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who say that those services have made them feel safe and secure,Female,81.5,25551.85,26651,76385.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who say that those services have made them feel safe and secure,Male,83.6,25551.85,26651,72974.0,2019
Barking and Dagenham,Council,E09000002,The proportion of people who use services who say that those services have made them feel safe and secure,Total,82.3,25551.85,26651,149359.0,2019
Barnet,Council,E09000003,Adjusted Social care-related quality of life – impact of Adult Social Care services,Total,0.428,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,Carer-reported quality of life score,18-64,6.3,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,Carer-reported quality of life score,65 and over,7.1,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,Carer-reported quality of life score,Female,6.7,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,Carer-reported quality of life score,Male,6.7,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,Carer-reported quality of life score,Total,6.7,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,"Delayed transfers of care from hospital that are attributable to adult social care, per 100,000 population",Total,1.7,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,"Delayed transfers of care from hospital that are jointly attributable to NHS and adult social care, per 100,000 population",Total,0.7,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,"Delayed transfers of care from hospital, per 100,000 population",Total,7.2,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,334.4,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,9.5,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,Overall satisfaction of carers with social services,18-64,30.4,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,Overall satisfaction of carers with social services,65 and over,40.0,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,Overall satisfaction of carers with social services,Female,33.3,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,Overall satisfaction of carers with social services,Male,40.0,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,Overall satisfaction of carers with social services,Total,34.1,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,Overall satisfaction of people who use services with their care and support,18-64,61.9,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,Overall satisfaction of people who use services with their care and support,65 and over,62.3,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,Overall satisfaction of people who use services with their care and support,Female,60.9,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,Overall satisfaction of people who use services with their care and support,Male,63.9,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,Overall satisfaction of people who use services with their care and support,Total,62.1,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,Social care-related quality of life score,18-64,19.0,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,Social care-related quality of life score,65 and over,19.0,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,Social care-related quality of life score,Female,19.1,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,Social care-related quality of life score,Male,18.9,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,Social care-related quality of life score,Total,19.0,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The outcome of short-term services: sequel to service,18-64,83.9,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The outcome of short-term services: sequel to service,65 and over,86.5,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The outcome of short-term services: sequel to service,Total,86.3,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of adults in contact with secondary mental health services in paid employment,Female,4.0,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of adults in contact with secondary mental health services in paid employment,Male,5.0,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of adults in contact with secondary mental health services in paid employment,Total,5.0,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Female,72.0,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Male,70.0,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,"The proportion of adults in contact with secondary mental health services living independently, with or without support",Total,71.0,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of adults with a learning disability in paid employment,Female,8.7,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of adults with a learning disability in paid employment,Male,9.1,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of adults with a learning disability in paid employment,Total,8.9,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of adults with a learning disability who live in their own home or with their family,Female,77.6,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of adults with a learning disability who live in their own home or with their family,Male,77.4,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of adults with a learning disability who live in their own home or with their family,Total,77.5,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of carers who find it easy to find information about support,18-64,61.0,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of carers who find it easy to find information about support,65 and over,64.4,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of carers who find it easy to find information about support,Female,56.4,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of carers who find it easy to find information about support,Male,70.6,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of carers who find it easy to find information about support,Total,58.3,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of carers who receive direct payments,18-64,100.0,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of carers who receive direct payments,Total,100.0,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of carers who receive direct payments,65 and over,100.0,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of carers who receive self-directed support,18-64,100.0,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of carers who receive self-directed support,Total,100.0,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of carers who receive self-directed support,65 and over,100.0,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,18-64,73.0,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,65 and over,69.6,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Female,68.5,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Male,80.0,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of carers who report that they have been included or consulted in discussion about the person they care for,Total,69.7,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of carers who reported that they had as much social contact as they would like,18-64,15.4,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of carers who reported that they had as much social contact as they would like,65 and over,29.2,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of carers who reported that they had as much social contact as they would like,Female,24.8,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of carers who reported that they had as much social contact as they would like,Male,18.5,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of carers who reported that they had as much social contact as they would like,Total,23.2,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Female,1.9,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Male,1.1,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,Total,1.5,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of older people (aged 65 and over) who received reablement/rehabilitation services after discharge from hospital,65 and over,1.52,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Female,70.7,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Male,51.1,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,Total,63.8,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of older people (aged 65 and over) who were still at home 91 days after discharge from hospital into reablement/rehabilitation services,65 and over,63.78,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of people who use services who feel safe,18-64,59.6,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of people who use services who feel safe,65 and over,69.8,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of people who use services who feel safe,Female,61.6,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of people who use services who feel safe,Male,72.4,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of people who use services who feel safe,Total,65.6,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of people who use services who find it easy to find information about support,18-64,65.2,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of people who use services who find it easy to find information about support,65 and over,74.2,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of people who use services who find it easy to find information about support,Female,68.5,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of people who use services who find it easy to find information about support,Male,74.0,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of people who use services who find it easy to find information about support,Total,70.4,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of people who use services who have control over their daily life,18-64,79.9,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of people who use services who have control over their daily life,65 and over,66.9,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of people who use services who have control over their daily life,Female,69.9,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of people who use services who have control over their daily life,Male,76.8,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of people who use services who have control over their daily life,Total,72.2,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of people who use services who receive direct payments,18-64,46.2,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of people who use services who receive direct payments,65 and over,16.5,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of people who use services who receive direct payments,Total,27.4,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of people who use services who receive self-directed support,18-64,89.9,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of people who use services who receive self-directed support,65 and over,65.7,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of people who use services who receive self-directed support,Total,74.6,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of people who use services who reported that they had as much social contact as they would like,18-64,46.3,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of people who use services who reported that they had as much social contact as they would like,65 and over,43.6,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of people who use services who reported that they had as much social contact as they would like,Female,44.9,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of people who use services who reported that they had as much social contact as they would like,Male,43.9,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of people who use services who reported that they had as much social contact as they would like,Total,44.7,13803.35,38746,302197.0,2019
Barnet,Council,E09000003,The proportion of people who use services who say that those services have made them feel safe and secure,18-64,84.4,13803.35,38746,244893.0,2019
Barnet,Council,E09000003,The proportion of people who use services who say that those services have made them feel safe and secure,65 and over,76.7,13803.35,38746,57304.0,2019
Barnet,Council,E09000003,The proportion of people who use services who say that those services have made them feel safe and secure,Female,81.9,13803.35,38746,153828.0,2019
Barnet,Council,E09000003,The proportion of people who use services who say that those services have made them feel safe and secure,Male,77.0,13803.35,38746,148369.0,2019
Barnet,Council,E09000003,The proportion of people who use services who say that those services have made them feel safe and secure,Total,79.9,13803.35,38746,302197.0,2019
Barnsley,Council,E08000016,Adjusted Social care-related quality of life – impact of Adult Social Care services,Total,0.452,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,Carer-reported quality of life score,18-64,7.2,21850.19,26151,147621.0,2019
Barnsley,Council,E08000016,Carer-reported quality of life score,65 and over,7.9,21850.19,26151,48162.0,2019
Barnsley,Council,E08000016,Carer-reported quality of life score,Female,7.4,21850.19,26151,100094.0,2019
Barnsley,Council,E08000016,Carer-reported quality of life score,Male,7.9,21850.19,26151,95689.0,2019
Barnsley,Council,E08000016,Carer-reported quality of life score,Total,7.6,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,"Delayed transfers of care from hospital that are attributable to adult social care, per 100,000 population",Total,0.3,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,"Delayed transfers of care from hospital that are jointly attributable to NHS and adult social care, per 100,000 population",Total,0.2,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,"Delayed transfers of care from hospital, per 100,000 population",Total,1.2,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,814.2,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,14.3,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,Overall satisfaction of carers with social services,18-64,37.2,21850.19,26151,147621.0,2019
Barnsley,Council,E08000016,Overall satisfaction of carers with social services,65 and over,41.1,21850.19,26151,48162.0,2019
Barnsley,Council,E08000016,Overall satisfaction of carers with social services,Female,35.6,21850.19,26151,100094.0,2019
Barnsley,Council,E08000016,Overall satisfaction of carers with social services,Male,46.6,21850.19,26151,95689.0,2019
Barnsley,Council,E08000016,Overall satisfaction of carers with social services,Total,39.1,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,Overall satisfaction of people who use services with their care and support,18-64,75.2,21850.19,26151,147621.0,2019
Barnsley,Council,E08000016,Overall satisfaction of people who use services with their care and support,65 and over,74.4,21850.19,26151,48162.0,2019
Barnsley,Council,E08000016,Overall satisfaction of people who use services with their care and support,Female,74.7,21850.19,26151,100094.0,2019
Barnsley,Council,E08000016,Overall satisfaction of people who use services with their care and support,Male,74.6,21850.19,26151,95689.0,2019
Barnsley,Council,E08000016,Overall satisfaction of people who use services with their care and support,Total,74.7,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,Social care-related quality of life score,18-64,20.2,21850.19,26151,147621.0,2019
Barnsley,Council,E08000016,Social care-related quality of life score,65 and over,20.2,21850.19,26151,48162.0,2019
Barnsley,Council,E08000016,Social care-related quality of life score,Female,20.0,21850.19,26151,100094.0,2019
Barnsley,Council,E08000016,Social care-related quality of life score,Male,20.4,21850.19,26151,95689.0,2019
Barnsley,Council,E08000016,Social care-related quality of life score,Total,20.2,21850.19,26151,195783.0,2019
Barnsley,Council,E08000016,The outcome of short-term services: sequel to service,18-64,93.1,21850.19,26151,147621.0,2019
