Geographical Description,Geographical Level,ONS Code,Measure Group Description,Disaggregation Level,Measure Value,IMD - Average rank ,Annual Pay Mean,Population,Year
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities who live in their own home or with their family,Total,89.7,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities who live in their own home or with their family,Female,90.5,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of adults with learning disabilities who live in their own home or with their family,Male,89.2,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of carers who receive direct payments,Total,100.0,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of carers who receive direct payments,18-64,100.0,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of carers who receive direct payments,65 and over,100.0,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of carers who receive self-directed support,Total,100.0,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of carers who receive self-directed support,18-64,100.0,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of carers who receive self-directed support,65 and over,100.0,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Total,77.9,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Female,76.8,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Male,80.0,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,65 and over,77.88,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Total,4.4,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Female,5.3,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Male,3.3,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,65 and over,4.41,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,Total,37.5,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,18-64,47.0,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive direct payments,65 and over,26.7,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,Total,86.1,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,18-64,76.8,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people using social care who receive self-directed support,65 and over,96.7,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,Total,70.1,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,18-64,79.0,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,65 and over,62.3,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,Female,66.2,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services and carers who find it easy to find information about services,Male,74.6,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,Total,74.3,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,18-64,69.8,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,65 and over,78.0,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,Female,71.6,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who feel safe,Male,78.1,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,Total,80.9,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,18-64,82.8,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,65 and over,79.3,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,Female,79.5,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who have control over their daily life,Male,82.9,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,Total,31.1,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,18-64,36.9,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,65 and over,26.1,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,Female,29.8,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who reported that they had as much social contact as they would like,Male,32.7,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,Total,80.7,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,18-64,77.6,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,65 and over,83.3,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,Female,81.5,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Proportion of people who use services who say that those services have made them feel safe and secure,Male,79.6,25551.85,29128,73662.0,2021
Barking and Dagenham,Council,E09000002,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,Total,44.3,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,18-64,39.2,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,65 and over,45.4,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Social care-related quality of life,Total,18.9,25551.85,29128,150015.0,2021
Barking and Dagenham,Council,E09000002,Social care-related quality of life,18-64,18.9,25551.85,29128,130208.0,2021
Barking and Dagenham,Council,E09000002,Social care-related quality of life,65 and over,19.0,25551.85,29128,19807.0,2021
Barking and Dagenham,Council,E09000002,Social care-related quality of life,Female,18.5,25551.85,29128,76353.0,2021
Barking and Dagenham,Council,E09000002,Social care-related quality of life,Male,19.5,25551.85,29128,73662.0,2021
Barnet,Council,E09000003,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,502.0,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,14.6,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of adults in contact with secondary mental health services in paid employment,Total,8.0,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of adults in contact with secondary mental health services in paid employment,Female,8.0,13803.35,41275,154042.0,2021
Barnet,Council,E09000003,Proportion of adults in contact with secondary mental health services in paid employment,Male,7.0,13803.35,41275,150276.0,2021
Barnet,Council,E09000003,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Total,63.0,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Female,63.0,13803.35,41275,154042.0,2021
Barnet,Council,E09000003,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Male,63.0,13803.35,41275,150276.0,2021
Barnet,Council,E09000003,Proportion of adults with learning disabilities in paid employment,Total,8.4,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of adults with learning disabilities in paid employment,Female,7.8,13803.35,41275,154042.0,2021
Barnet,Council,E09000003,Proportion of adults with learning disabilities in paid employment,Male,8.8,13803.35,41275,150276.0,2021
Barnet,Council,E09000003,Proportion of adults with learning disabilities who live in their own home or with their family,Total,82.2,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of adults with learning disabilities who live in their own home or with their family,Female,82.0,13803.35,41275,154042.0,2021
Barnet,Council,E09000003,Proportion of adults with learning disabilities who live in their own home or with their family,Male,82.3,13803.35,41275,150276.0,2021
Barnet,Council,E09000003,Proportion of carers who receive direct payments,Total,100.0,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of carers who receive direct payments,18-64,100.0,13803.35,41275,246148.0,2021
Barnet,Council,E09000003,Proportion of carers who receive direct payments,65 and over,100.0,13803.35,41275,58170.0,2021
Barnet,Council,E09000003,Proportion of carers who receive self-directed support,Total,100.0,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of carers who receive self-directed support,18-64,100.0,13803.35,41275,246148.0,2021
Barnet,Council,E09000003,Proportion of carers who receive self-directed support,65 and over,100.0,13803.35,41275,58170.0,2021
Barnet,Council,E09000003,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Total,75.4,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Female,78.4,13803.35,41275,154042.0,2021
Barnet,Council,E09000003,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Male,71.8,13803.35,41275,150276.0,2021
Barnet,Council,E09000003,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,65 and over,75.43,13803.35,41275,58170.0,2021
Barnet,Council,E09000003,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Total,2.3,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Female,2.4,13803.35,41275,154042.0,2021
Barnet,Council,E09000003,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Male,2.1,13803.35,41275,150276.0,2021
Barnet,Council,E09000003,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,65 and over,2.27,13803.35,41275,58170.0,2021
Barnet,Council,E09000003,Proportion of people using social care who receive direct payments,Total,30.3,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of people using social care who receive direct payments,18-64,42.1,13803.35,41275,246148.0,2021
Barnet,Council,E09000003,Proportion of people using social care who receive direct payments,65 and over,19.7,13803.35,41275,58170.0,2021
Barnet,Council,E09000003,Proportion of people using social care who receive self-directed support,Total,99.8,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of people using social care who receive self-directed support,18-64,99.7,13803.35,41275,246148.0,2021
Barnet,Council,E09000003,Proportion of people using social care who receive self-directed support,65 and over,99.9,13803.35,41275,58170.0,2021
Barnet,Council,E09000003,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,Total,56.6,13803.35,41275,304318.0,2021
Barnet,Council,E09000003,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,18-64,44.3,13803.35,41275,246148.0,2021
Barnet,Council,E09000003,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,65 and over,58.1,13803.35,41275,58170.0,2021
Barnsley,Council,E08000016,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,659.7,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,13.5,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of adults in contact with secondary mental health services in paid employment,Total,10.0,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of adults in contact with secondary mental health services in paid employment,Female,10.0,21850.19,27411,100504.0,2021
Barnsley,Council,E08000016,Proportion of adults in contact with secondary mental health services in paid employment,Male,8.0,21850.19,27411,95946.0,2021
Barnsley,Council,E08000016,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Total,83.0,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Female,86.0,21850.19,27411,100504.0,2021
Barnsley,Council,E08000016,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Male,80.0,21850.19,27411,95946.0,2021
Barnsley,Council,E08000016,Proportion of adults with learning disabilities in paid employment,Total,4.6,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of adults with learning disabilities in paid employment,Female,4.3,21850.19,27411,100504.0,2021
Barnsley,Council,E08000016,Proportion of adults with learning disabilities in paid employment,Male,4.7,21850.19,27411,95946.0,2021
Barnsley,Council,E08000016,Proportion of adults with learning disabilities who live in their own home or with their family,Total,87.2,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of adults with learning disabilities who live in their own home or with their family,Female,87.4,21850.19,27411,100504.0,2021
Barnsley,Council,E08000016,Proportion of adults with learning disabilities who live in their own home or with their family,Male,87.1,21850.19,27411,95946.0,2021
Barnsley,Council,E08000016,Proportion of carers who receive direct payments,Total,98.0,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of carers who receive direct payments,18-64,98.3,21850.19,27411,147790.0,2021
Barnsley,Council,E08000016,Proportion of carers who receive direct payments,65 and over,97.32,21850.19,27411,48660.0,2021
Barnsley,Council,E08000016,Proportion of carers who receive self-directed support,Total,99.3,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of carers who receive self-directed support,18-64,99.4,21850.19,27411,147790.0,2021
Barnsley,Council,E08000016,Proportion of carers who receive self-directed support,65 and over,99.11,21850.19,27411,48660.0,2021
Barnsley,Council,E08000016,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Total,85.5,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Female,91.1,21850.19,27411,100504.0,2021
Barnsley,Council,E08000016,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Male,76.4,21850.19,27411,95946.0,2021
Barnsley,Council,E08000016,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,65 and over,85.52,21850.19,27411,48660.0,2021
Barnsley,Council,E08000016,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Total,2.1,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Female,2.6,21850.19,27411,100504.0,2021
Barnsley,Council,E08000016,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Male,1.6,21850.19,27411,95946.0,2021
Barnsley,Council,E08000016,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,65 and over,2.14,21850.19,27411,48660.0,2021
Barnsley,Council,E08000016,Proportion of people using social care who receive direct payments,Total,37.3,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of people using social care who receive direct payments,18-64,54.5,21850.19,27411,147790.0,2021
Barnsley,Council,E08000016,Proportion of people using social care who receive direct payments,65 and over,20.5,21850.19,27411,48660.0,2021
Barnsley,Council,E08000016,Proportion of people using social care who receive self-directed support,Total,92.6,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of people using social care who receive self-directed support,18-64,89.4,21850.19,27411,147790.0,2021
Barnsley,Council,E08000016,Proportion of people using social care who receive self-directed support,65 and over,95.8,21850.19,27411,48660.0,2021
Barnsley,Council,E08000016,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,Total,61.2,21850.19,27411,196450.0,2021
Barnsley,Council,E08000016,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,18-64,59.4,21850.19,27411,147790.0,2021
Barnsley,Council,E08000016,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,65 and over,61.4,21850.19,27411,48660.0,2021
Bath and North East Somerset,Council,E06000022,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,594.7,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,14.7,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults in contact with secondary mental health services in paid employment,Total,12.0,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults in contact with secondary mental health services in paid employment,Female,14.0,9260.09,29940,81049.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults in contact with secondary mental health services in paid employment,Male,9.0,9260.09,29940,78633.0,2021
Bath and North East Somerset,Council,E06000022,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Total,57.0,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Female,55.0,9260.09,29940,81049.0,2021
Bath and North East Somerset,Council,E06000022,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Male,60.0,9260.09,29940,78633.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults with learning disabilities in paid employment,Total,13.0,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults with learning disabilities in paid employment,Female,15.0,9260.09,29940,81049.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults with learning disabilities in paid employment,Male,11.8,9260.09,29940,78633.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults with learning disabilities who live in their own home or with their family,Total,78.9,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults with learning disabilities who live in their own home or with their family,Female,83.3,9260.09,29940,81049.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of adults with learning disabilities who live in their own home or with their family,Male,76.7,9260.09,29940,78633.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of carers who receive direct payments,Total,100.0,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of carers who receive direct payments,18-64,100.0,9260.09,29940,122691.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of carers who receive direct payments,65 and over,100.0,9260.09,29940,36991.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of carers who receive self-directed support,Total,100.0,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of carers who receive self-directed support,18-64,100.0,9260.09,29940,122691.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of carers who receive self-directed support,65 and over,100.0,9260.09,29940,36991.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Total,79.2,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Female,81.4,9260.09,29940,81049.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Male,76.4,9260.09,29940,78633.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,65 and over,79.18,9260.09,29940,36991.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Total,8.0,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Female,8.6,9260.09,29940,81049.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,Male,7.3,9260.09,29940,78633.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services offered the service,65 and over,7.98,9260.09,29940,36991.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of people using social care who receive direct payments,Total,21.8,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of people using social care who receive direct payments,18-64,28.8,9260.09,29940,122691.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of people using social care who receive direct payments,65 and over,12.1,9260.09,29940,36991.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of people using social care who receive self-directed support,Total,99.4,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of people using social care who receive self-directed support,18-64,99.3,9260.09,29940,122691.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of people using social care who receive self-directed support,65 and over,99.6,9260.09,29940,36991.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,Total,72.4,9260.09,29940,159682.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,18-64,80.6,9260.09,29940,122691.0,2021
Bath and North East Somerset,Council,E06000022,Proportion of those that received a short term service during the year where the sequel to service was either no ongoing support or support of a lower level,65 and over,71.5,9260.09,29940,36991.0,2021
Bedford,Council,E06000055,"Long-term support needs of older adults aged 65 and over met by admission to residential and nursing care homes, per 100,000 population",Total,455.1,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,"Long-term support needs of younger adults aged 18-64 met by admission to residential and nursing care homes, per 100,000 population",Total,19.6,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,Proportion of adults in contact with secondary mental health services in paid employment,Total,9.0,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,Proportion of adults in contact with secondary mental health services in paid employment,Female,10.0,15291.14,31523,68795.0,2021
Bedford,Council,E06000055,Proportion of adults in contact with secondary mental health services in paid employment,Male,8.0,15291.14,31523,64719.0,2021
Bedford,Council,E06000055,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Total,70.0,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Female,70.0,15291.14,31523,68795.0,2021
Bedford,Council,E06000055,"Proportion of adults in contact with secondary mental health services who live independently, with or without support",Male,71.0,15291.14,31523,64719.0,2021
Bedford,Council,E06000055,Proportion of adults with learning disabilities in paid employment,Total,9.1,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,Proportion of adults with learning disabilities in paid employment,Female,6.3,15291.14,31523,68795.0,2021
Bedford,Council,E06000055,Proportion of adults with learning disabilities in paid employment,Male,11.1,15291.14,31523,64719.0,2021
Bedford,Council,E06000055,Proportion of adults with learning disabilities who live in their own home or with their family,Total,80.0,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,Proportion of adults with learning disabilities who live in their own home or with their family,Female,86.9,15291.14,31523,68795.0,2021
Bedford,Council,E06000055,Proportion of adults with learning disabilities who live in their own home or with their family,Male,75.3,15291.14,31523,64719.0,2021
Bedford,Council,E06000055,Proportion of carers who receive direct payments,Total,76.4,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,Proportion of carers who receive direct payments,18-64,85.4,15291.14,31523,102092.0,2021
Bedford,Council,E06000055,Proportion of carers who receive direct payments,65 and over,68.75,15291.14,31523,31422.0,2021
Bedford,Council,E06000055,Proportion of carers who receive self-directed support,Total,93.3,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,Proportion of carers who receive self-directed support,18-64,95.8,15291.14,31523,102092.0,2021
Bedford,Council,E06000055,Proportion of carers who receive self-directed support,65 and over,91.07,15291.14,31523,31422.0,2021
Bedford,Council,E06000055,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Total,70.4,15291.14,31523,133514.0,2021
Bedford,Council,E06000055,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Female,65.8,15291.14,31523,68795.0,2021
Bedford,Council,E06000055,Proportion of older people 65 and over who were still at home 91 days after discharge from hospital into reablement/rehabilitation services effectiveness of the service,Male,74.0,15291.14,31523,64719.0,2021
